canonical_url,slug,page_type,service_or_material,main_location,sub_areas_or_local_anchors,primary_keyword_intent,parent_hub,current_primary_image,status
https://asbestosremovalteesside.co.uk/,/,homepage,Asbestos removal,"Middlesbrough and Teesside","Middlesbrough; Stockton-on-Tees; Redcar; Billingham; Thornaby",Asbestos Removal Middlesbrough & Teesside,root,/asbestos-removal-middlesbrough-teesside-teesamp-ts2.webp,ready
https://asbestosremovalteesside.co.uk/services,services,service hub,All asbestos services,"Middlesbrough and Teesside",Teesside,Asbestos removal services Middlesbrough & Teesside,/,/asbestos-removal-services-middlesbrough-teesside-riverside-park-ts2.webp,ready
https://asbestosremovalteesside.co.uk/areas,areas,area hub,Asbestos removal,"Teesside and nearby North East",All target towns,Asbestos removal areas Teesside,/,/asbestos-removal-areas-middlesbrough-teesside-teesamp-ts2.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-removal-middlesbrough-teesside,asbestos-removal-middlesbrough-teesside,service,Asbestos removal,"Middlesbrough and Teesside","A66; A19; Tees industrial corridor",Asbestos Removal Middlesbrough & Teesside,/services,/asbestos-removal-middlesbrough-linthorpe-road-ts1.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-surveys-testing-middlesbrough-teesside,asbestos-surveys-testing-middlesbrough-teesside,service,Asbestos surveys and testing,"Middlesbrough and Teesside","homes; managed buildings; refurbishment sites",Asbestos Surveys & Testing Middlesbrough & Teesside,/services,/asbestos-survey-testing-stockton-norton-ts20.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-artex-removal-middlesbrough-teesside,asbestos-artex-removal-middlesbrough-teesside,service,Asbestos Artex removal,"Middlesbrough and Teesside","domestic rooms; commercial interiors",Asbestos Artex Removal Middlesbrough & Teesside,/services,/asbestos-artex-removal-middlesbrough-acklam-road-ts5.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-roof-removal-middlesbrough-teesside,asbestos-roof-removal-middlesbrough-teesside,service,Asbestos roof removal,"Middlesbrough and Teesside","garages; workshops; industrial units",Asbestos Roof Removal Middlesbrough & Teesside,/services,/asbestos-roof-removal-teesside-riverside-park-ts2.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-warehouse-corrugated-roof-removal-teesside,asbestos-warehouse-corrugated-roof-removal-teesside,service,Asbestos warehouse and corrugated roof removal,"Middlesbrough and Teesside","Riverside Park; TeesAMP; Portrack Lane; Preston Farm; Cowpen Lane; Longbeck; Oakesway",Asbestos Warehouse & Corrugated Roof Removal Teesside,/asbestos-roof-removal-middlesbrough-teesside,/asbestos-warehouse-corrugated-roof-removal-middlesbrough-teesamp-ts2.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-farm-building-roof-removal-teesside,asbestos-farm-building-roof-removal-teesside,service,Asbestos farm building roof removal,"Teesside and surrounding rural areas","Stokesley; Great Ayton; Guisborough; Yarm; rural County Durham",Asbestos Farm Building Roof Removal Teesside,/asbestos-roof-removal-middlesbrough-teesside,/asbestos-farm-building-roof-removal-teesside-stokesley-ts9.webp,ready
https://asbestosremovalteesside.co.uk/asbestos-shed-outbuilding-roof-removal-teesside,asbestos-shed-outbuilding-roof-removal-teesside,service,Asbestos shed and outbuilding roof removal,"Middlesbrough and Teesside","homes; rear lanes; gardens; allotments; small commercial yards",Asbestos Shed & Outbuilding Roof Removal Teesside,/asbestos-roof-removal-middlesbrough-teesside,/asbestos-shed-outbuilding-roof-removal-stockton-norton-ts20.webp,ready
